C Mil A,UF,Município,OM,Curso,Entidade,Local,Início,Fim,Carga Horária,Efetivo Inicial,Efetivo Final,Valor hora aula,Valor total
CMA ,AC ,Rio Branco ,Cmdo Fron ACRE / 4º BIS ,Movimentação de Produtos Perigosos ,SESC/SENAT ,Entidade Parceira,4/7/2022,8/7/2022,40,7,7,"8,05",2254
CMA ,AC ,Rio Branco ,Cmdo Fron ACRE / 4º BIS ,CONDUTORES DE VEICULOS DE TRABSPORTE COLETIVO ,SESC/SENAT ,Entidade Parceira,4/7/2022,15/7/2022,40,10,10,"8,05",3220
CMA ,AC ,Rio Branco ,Cmdo Fron ACRE / 4º BIS ,CONDUTOR DE VEÍCULO DE EMERGÊNCIA ,SESC/SENAT ,Entidade Parceira,4/7/2022,15/7/2022,40,7,7,"8,05",2254
CMA ,AC ,Rio Branco ,Cmdo Fron ACRE / 4º BIS ,Instalação Hidráulica ,SENAI ,Entidade Parceira,4/7/2022,15/7/2022,212,7,7,"6,5",9646
CMNE ,AL ,Maceió ,59º BI Mtz ,ELETRICISTA DE AUTOMÓVEIS ,SENAI ,Entidade Parceira,20/6/2022,2/9/2022,160,3,3,"5,78","2774,4"
CMNE ,AL ,Maceió ,59º BI Mtz ,"Mecânico de Freios, Suspensão e Direção ",SENAI ,Entidade Parceira,27/6/2022,2/8/2022,80,8,8,"5,18","3315,2"
CMNE ,AL ,Maceió ,59º BI Mtz ,Manutenção de Ar Condicionado Automotivo ,SENAI ,Entidade Parceira,27/6/2022,2/8/2022,80,6,6,"6,75",3240
CMNE ,AL ,Maceió ,59º BI Mtz ,Manutenção de Câmara Frigorífica ,SENAI ,Entidade Parceira,13/6/2022,5/7/2022,40,6,6,"13,5",3240
CMNE ,AL ,Maceió ,59º BI Mtz ,Marcenaria para hobby ,SENAI ,Entidade Parceira,13/6/2022,11/7/2022,70,4,4,"13,15",3682
CMNE ,AL ,Maceió ,59º BI Mtz ,Instalação e manutenção de cond ar split ,SENAI ,Entidade Parceira,6/6/2022,6/7/2022,80,3,3,"7,83","1879,2"
CMNE ,AL ,Maceió ,59º BI Mtz ,NR10-Segurança em Inst e Serv de Eletricidade ,SESI ,Entidade Parceira,6/6/2022,10/6/2022,40,5,5,"7,5",1500
CMNE ,AL ,Maceió ,59º BI Mtz ,NR 35 - TRABALHO EM ALTURA ,SESI ,Entidade Parceira,9/6/2022,9/6/2022,8,5,5,"9,38","375,2"
CMNE ,AL ,Arapiraca ,TG 07-015 ,Assistente Administrativo ,SENAI-AL ,Entidade Parceira,18/4/2022,8/7/2022,240,20,20,0,0
CMNE ,AL ,Arapiraca ,TG 07-015 ,Auxiliar de Operações Logísticas ,SENAI-AL ,Entidade Parceira,18/4/2022,8/7/2022,240,20,20,0,0
CMNE ,AL ,Arapiraca ,TG 07-015 ,Comprador ,SENAI-AL ,Entidade Parceira,2/5/2022,8/7/2022,200,20,20,0,0
CMNE ,AL ,Arapiraca ,TG 07-015 ,Almoxarife ,SENAI-AL ,Entidade Parceira,2/5/2022,22/7/2022,240,20,20,0,0
CMNE ,AL ,Palmeira dos Índios ,TG 07-007 ,Assistente Administrativo ,SENAC-AL ,Entidade Parceira,4/4/2022,27/5/2022,160,30,30,0,0
CMNE ,AL ,Palmeira dos Índios ,TG 07-007 ,Assistente de Recursos Humanos ,SENAC-AL ,Entidade Parceira,4/4/2022,27/5/2022,160,20,20,0,0
CMNE ,AL ,Penedo ,TG 07-008 ,Assistente de Recursos Humanos ,SENAC-AL ,Entidade Parceira,8/8/2022,30/9/2022,160,25,25,0,0
CMNE ,AL ,Teotônio Vilela ,TG 07-022 ,Assistente de Recursos Humanos ,SENAC-AL ,Entidade Parceira,4/7/2022,26/8/2022,160,25,25,0,0
CMA ,AM ,Manaus ,Cmdo CMA ,Mecânico de Maquinas Industriais ,SENAI ,Entidade Parceira,23/2/2022,5/4/2022,120,3,3,0,0
CMA ,AM ,Manaus ,Cmdo CMA ,Mecânico de motores a Álcool e à Gasolina ,SENAI ,Entidade Parceira,21/2/2022,5/4/2022,120,5,5,0,0
CMA ,AM ,Manaus ,Cmdo CMA ,Segurança em Operação de Empilhadeiras ,SENAI ,Entidade Parceira,21/2/2022,9/3/2022,40,2,2,0,0
CMA ,AM ,Manaus ,Cmdo CMA ,ELETRICISTA DE AUTOMÓVEIS ,SENAI ,Entidade Parceira,14/2/2022,29/3/2022,120,5,5,0,0
CMA ,AM ,Manaus ,Cmdo CMA ,Padeiro ,SENAI ,Própria OM,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,Manaus ,Cmdo CMA ,Auxiliar de Saúde Bucal ,CETAM ,Própria OM,4/4/2022,8/7/2022,520,12,12,0,0
CMA ,AM ,Tabatinga ,Cmdo Fron SOLIMÕES / 8º B I S ,PEDREIRO ,CETAM ,Própria OM,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,Tabatinga ,Cmdo Fron SOLIMÕES / 8º B I S ,Eletricista Baixa tensão ,CETAM ,Própria OM,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,Tabatinga ,Cmdo Fron SOLIMÕES / 8º B I S ,Jardinagem ,CETAM ,Própria OM,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,Tefé ,Cmdo 16ª Bda Inf Sl ,PEDREIRO ,CETAM ,Própria OM,12/9/2022,7/10/2022,160,20,20,1,3200
CMA ,AM ,São Gabriel da Cachoeira ,Cmdo 2ª Bda Inf Sl ,Eletricista Baixa tensão ,Agape Treinamentos ,Própria OM,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,São Gabriel da Cachoeira ,Cmdo 2ª Bda Inf Sl ,PEDREIRO ,CETAM ,Própria OM,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,São Gabriel da Cachoeira ,Cmdo 2ª Bda Inf Sl ,Manutenção de motores de popa ,CETAM ,Própria OM,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM,Manaus,PR Mnt/12,"Curso de Motorista Profissional Categoria ""C""",DETRAN /AM,PR Mnt/12,14/3/2022,16/11/2022,50,168,168,"2,01","16905,35"
CMA ,AM,Manaus,PR Mnt/12,"Curso de Motorista Profissional Categoria ""D""",DETRAN /AM,PR Mnt/12,18/5/2022,16/11/2022,50,60,60,"2,08","6252,67"
CMA ,AM ,Manaus ,Pq R Mnt / 12ª RM ,Mecânico de Motores à Diesel ,SENAI ,PR Mnt/12,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,Manaus ,Pq R Mnt / 12ª RM ,Eletricista Automotivo ,SENAI ,PR Mnt/12,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,Manaus ,Pq R Mnt / 12ª RM ,MECÂNICO DE MANUTENÇÃO EM AUTOMÓVEIS ,SENAI ,PR Mnt/12,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,Manaus ,Pq R Mnt / 12ª RM ,Manutenção de Motosseras ,SENAI ,PR Mnt/12,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,Manaus ,Pq R Mnt / 12ª RM ,Capoteiro/Corrieiro ,SENAI ,PR Mnt/12,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
CMA ,AM ,Manaus ,4º CTA ,Montador e Reparador de Computador ,SENAI ,PR Mnt/12,00/00/0000 ,00/00/0000 ,160,20,20,"1,33",4256
